"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 12 15:02:23 MSK 2022","Mon Sep 12 15:02:24 MSK 2022","1796","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithExpiredCardMonthNotPay","shouldPayTourWithExpiredCardMonthNotPay()",""
"passed","Mon Sep 12 15:04:22 MSK 2022","Mon Sep 12 15:04:23 MSK 2022","1435","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithEmptyOwnerNameNotPay","shouldPayTourInCreditWithEmptyOwnerNameNotPay()",""
"failed","Mon Sep 12 15:01:43 MSK 2022","Mon Sep 12 15:01:56 MSK 2022","12830","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithOwnerNameContainOnlyHyphensNotPay","shouldPayTourInCreditWithOwnerNameContainOnlyHyphensNotPay()",""
"failed","Mon Sep 12 15:05:32 MSK 2022","Mon Sep 12 15:05:44 MSK 2022","12046","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithMonthIsAllNullsNotPay","shouldPayTourInCreditWithMonthIsAllNullsNotPay()",""
"passed","Mon Sep 12 15:04:23 MSK 2022","Mon Sep 12 15:04:25 MSK 2022","1485","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithEmptyMonthNotPay","shouldPayTourInCreditWithEmptyMonthNotPay()",""
"passed","Mon Sep 12 15:03:03 MSK 2022","Mon Sep 12 15:03:05 MSK 2022","1692","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithInCompleteNumberNotPay","shouldPayTourInCreditWithInCompleteNumberNotPay()",""
"passed","Mon Sep 12 15:04:20 MSK 2022","Mon Sep 12 15:04:22 MSK 2022","1657","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithEmptyNumberNotPay","shouldPayTourInCreditWithEmptyNumberNotPay()",""
"failed","Mon Sep 12 15:02:26 MSK 2022","Mon Sep 12 15:02:38 MSK 2022","12154","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithOwnerNameContainSpecialSymbolsNotPay","shouldPayTourWithOwnerNameContainSpecialSymbolsNotPay()",""
"passed","Mon Sep 12 15:02:55 MSK 2022","Mon Sep 12 15:02:57 MSK 2022","1699","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithEmptyCvcNotPay","shouldPayTourInCreditWithEmptyCvcNotPay()",""
"passed","Mon Sep 12 15:02:40 MSK 2022","Mon Sep 12 15:02:42 MSK 2022","1786","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithYearIsAllNullsNotPay","shouldPayTourInCreditWithYearIsAllNullsNotPay()",""
"passed","Mon Sep 12 15:03:54 MSK 2022","Mon Sep 12 15:03:56 MSK 2022","1694","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithExpiredCardYearNotPay","shouldPayTourWithExpiredCardYearNotPay()",""
"failed","Mon Sep 12 15:04:08 MSK 2022","Mon Sep 12 15:04:20 MSK 2022","12248","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithOwnerNameContainOnlyHyphensNotPay","shouldPayTourWithOwnerNameContainOnlyHyphensNotPay()",""
"passed","Mon Sep 12 15:03:05 MSK 2022","Mon Sep 12 15:03:07 MSK 2022","1878","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithYearMoreCurrentBySixNotPay","shouldPayTourInCreditWithYearMoreCurrentBySixNotPay()",""
"failed","Mon Sep 12 15:02:08 MSK 2022","Mon Sep 12 15:02:21 MSK 2022","12672","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithOwnerNameContainCyrillicNotPay","shouldPayTourInCreditWithOwnerNameContainCyrillicNotPay()",""
"passed","Mon Sep 12 15:06:13 MSK 2022","Mon Sep 12 15:06:15 MSK 2022","1633","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithIncorrectCvcNotPay","shouldPayTourInCreditWithIncorrectCvcNotPay()",""
"failed","Mon Sep 12 15:03:56 MSK 2022","Mon Sep 12 15:04:08 MSK 2022","12317","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithOwnerNameContainCyrillicNotPay","shouldPayTourWithOwnerNameContainCyrillicNotPay()",""
"passed","Mon Sep 12 15:05:16 MSK 2022","Mon Sep 12 15:05:27 MSK 2022","10769","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourApproved","shouldPayTourApproved()",""
"passed","Mon Sep 12 15:02:48 MSK 2022","Mon Sep 12 15:02:52 MSK 2022","3578","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithIncorrectNumberNotPay","shouldPayTourWithIncorrectNumberNotPay()",""
"failed","Mon Sep 12 15:04:51 MSK 2022","Mon Sep 12 15:05:03 MSK 2022","12047","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithCvcIsTripleNullNotPay","shouldPayTourWithCvcIsTripleNullNotPay()",""
"passed","Mon Sep 12 15:06:09 MSK 2022","Mon Sep 12 15:06:12 MSK 2022","3264","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditApproved","shouldPayTourInCreditApproved()",""
"passed","Mon Sep 12 15:05:31 MSK 2022","Mon Sep 12 15:05:32 MSK 2022","1761","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithYearMoreCurrentBySixNotPay","shouldPayTourWithYearMoreCurrentBySixNotPay()",""
"passed","Mon Sep 12 15:02:21 MSK 2022","Mon Sep 12 15:02:23 MSK 2022","1780","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithYearIsAllNullsNotPay","shouldPayTourWithYearIsAllNullsNotPay()",""
"failed","Mon Sep 12 15:03:42 MSK 2022","Mon Sep 12 15:03:54 MSK 2022","12257","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithOwnerNameContainSpecialSymbolsNotPay","shouldPayTourInCreditWithOwnerNameContainSpecialSymbolsNotPay()",""
"passed","Mon Sep 12 15:03:19 MSK 2022","Mon Sep 12 15:03:20 MSK 2022","1557","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourWithEmptyOwnerNameNotPay","shouldPayTourWithEmptyOwnerNameNotPay()",""
"passed","Mon Sep 12 15:02:38 MSK 2022","Mon Sep 12 15:02:40 MSK 2022","1903","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithEmptyYearNotPay","shouldPayTourInCreditWithEmptyYearNotPay()",""
"passed","Mon Sep 12 15:02:42 MSK 2022","Mon Sep 12 15:02:48 MSK 2022","6244","","ru.netology.courseProject.test.Tests","","ru.netology.courseProject.test.Tests","shouldPayTourInCreditWithIncorrectNumberNotPay","shouldPayTourInCreditWithIncorrectNumberNotPay()",""
